id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,1,4068631943231473,,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
2,2,4177816490204479,,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
3,3,4271805778010747,,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
4,4,4048033451067370,,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
5,5,4297222478855497,,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
6,6,4558368405929183,,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
7,7,4613250127567219,,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
8,8,4839506591130477,,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
9,9,4463525332822998,,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
10,10,4149654190362629,,success,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
